# y+ ()       
# Time        	patch         	min           	max           	average       
50.5          	bottomWall	4.862173e-02	1.393866e-01	5.660535e-02
51            	topWall	1.113361e-01	1.280223e+00	1.071386e+00
51            	bottomWall	4.861890e-02	1.393860e-01	5.660502e-02
51.5          	topWall	1.113356e-01	1.280335e+00	1.071444e+00
51.5          	bottomWall	4.861627e-02	1.393855e-01	5.660470e-02
52            	topWall	1.113353e-01	1.280440e+00	1.071499e+00
52            	bottomWall	4.861383e-02	1.393850e-01	5.660440e-02
52.5          	topWall	1.113350e-01	1.280537e+00	1.071549e+00
52.5          	bottomWall	4.861157e-02	1.393845e-01	5.660411e-02
53            	topWall	1.113344e-01	1.280624e+00	1.071596e+00
53            	bottomWall	4.860948e-02	1.393840e-01	5.660383e-02
53.5          	topWall	1.113341e-01	1.280708e+00	1.071640e+00
53.5          	bottomWall	4.860753e-02	1.393835e-01	5.660357e-02
54            	topWall	1.113334e-01	1.280784e+00	1.071680e+00
54            	bottomWall	4.860574e-02	1.393831e-01	5.660332e-02
54.5          	topWall	1.113336e-01	1.280854e+00	1.071718e+00
54.5          	bottomWall	4.860407e-02	1.393826e-01	5.660308e-02
55            	topWall	1.113325e-01	1.280918e+00	1.071752e+00
55            	bottomWall	4.860253e-02	1.393822e-01	5.660286e-02
55.5          	topWall	1.113321e-01	1.280978e+00	1.071785e+00
55.5          	bottomWall	4.860111e-02	1.393818e-01	5.660264e-02
56            	topWall	1.113317e-01	1.281034e+00	1.071815e+00
56            	bottomWall	4.859979e-02	1.393814e-01	5.660244e-02
56.5          	topWall	1.113313e-01	1.281086e+00	1.071842e+00
56.5          	bottomWall	4.859856e-02	1.393810e-01	5.660226e-02
57            	topWall	1.113309e-01	1.281135e+00	1.071868e+00
57            	bottomWall	4.859743e-02	1.393806e-01	5.660208e-02
57.5          	topWall	1.113305e-01	1.281180e+00	1.071892e+00
57.5          	bottomWall	4.859638e-02	1.393802e-01	5.660191e-02
58            	topWall	1.113301e-01	1.281222e+00	1.071915e+00
58            	bottomWall	4.859541e-02	1.393798e-01	5.660175e-02
58.5          	topWall	1.113298e-01	1.281261e+00	1.071935e+00
58.5          	bottomWall	4.859451e-02	1.393795e-01	5.660159e-02
59            	topWall	1.113294e-01	1.281297e+00	1.071955e+00
59            	bottomWall	4.859367e-02	1.393792e-01	5.660145e-02
59.5          	topWall	1.113291e-01	1.281330e+00	1.071973e+00
59.5          	bottomWall	4.859289e-02	1.393788e-01	5.660131e-02
60            	topWall	1.113287e-01	1.281361e+00	1.071989e+00
60            	bottomWall	4.859216e-02	1.393785e-01	5.660118e-02
