# y+ ()       
# Time        	patch         	min           	max           	average       
56            	topWall	7.083519e-02	6.946178e-01	6.063009e-01
56            	bottomWall	1.425908e-02	1.394368e-01	2.515089e-02
56.5          	topWall	7.083521e-02	6.946181e-01	6.063014e-01
56.5          	bottomWall	1.425896e-02	1.394365e-01	2.515086e-02
57            	topWall	7.083523e-02	6.946184e-01	6.063018e-01
57            	bottomWall	1.425885e-02	1.394363e-01	2.515083e-02
57.5          	topWall	7.083525e-02	6.946187e-01	6.063021e-01
57.5          	bottomWall	1.425875e-02	1.394361e-01	2.515080e-02
58            	topWall	7.083527e-02	6.946190e-01	6.063025e-01
58            	bottomWall	1.425865e-02	1.394359e-01	2.515077e-02
58.5          	topWall	7.083529e-02	6.946192e-01	6.063028e-01
58.5          	bottomWall	1.425857e-02	1.394357e-01	2.515075e-02
59            	topWall	7.083530e-02	6.946194e-01	6.063030e-01
59            	bottomWall	1.425850e-02	1.394355e-01	2.515072e-02
59.5          	topWall	7.083532e-02	6.946196e-01	6.063033e-01
59.5          	bottomWall	1.425844e-02	1.394353e-01	2.515070e-02
60            	topWall	7.083533e-02	6.946198e-01	6.063035e-01
60            	bottomWall	1.425838e-02	1.394351e-01	2.515068e-02
